cholesky,2,potrf
cholesky,3,gemm
cholesky,4,potrf,gemm
cholesky,5,trsm
cholesky,6,potrf,trsm
cholesky,7,gemm,trsm
cholesky,8,potrf,gemm,trsm
cholesky,9,syrk
cholesky,10,potrf,syrk
cholesky,11,gemm,syrk
cholesky,12,potrf,gemm,syrk
cholesky,13,trsm,syrk
cholesky,14,potrf,trsm,syrk
cholesky,15,trsm,syrk,gemm
cholesky,16,potrf,trsm,syrk,gemm

qr,2,geqrt
qr,3,ormqr
qr,4,geqrt,ormqr
qr,5,tsmqr
qr,6,geqrt,tsmqr
qr,7,ormqr,tsmqr
qr,8,geqrt,ormqr,tsmqr
qr,9,tsqrt
qr,10,geqrt,tsqrt
qr,11,ormqr,tsqrt
qr,12,geqrt,ormqr,tsqrt
qr,13,tsqrt,tsmqr
qr,14,geqrt,tsmqr,tsqrt
qr,15,ormqr,tsqrt,tsmqr
qr,16,geqrt,ormqr,tsqrt,tsmqr

lu,2,getrfpiv
lu,3,gemm
lu,4,getrfpiv,gemm
lu,5,trsmswp
lu,6,getrfpiv,trsmswp
lu,7,trsmswp,gemm
lu,8,getrfpiv,gemm,trsmswp
lu,9,geswp
lu,10,getrfpiv,geswp
lu,11,gemm,geswp
lu,12,getrfpiv,gemm,geswp
lu,13,trsmswp,geswp
lu,14,getrfpiv,trsmswp,geswp
lu,15,trsmswp,gemm,geswp
lu,16,getrfpiv,trsmswp,gemm,geswp

invert,2,getrf
invert,3,gemm
invert,4,getrf,gemm
invert,5,trsm
invert,6,getrf,trsm
invert,7,gemm,trsm
invert,8,getrf,gemm,trsm
invert,9,getri
invert,10,getrf,getri
invert,11,gemm,getri
invert,12,getrf,gemm,getri
invert,13,trsm,getri
invert,14,getrf,trsm,getri
invert,15,trsm,gemm,getri
invert,16,getrf,getri,trsm,gemm

dgram,2,laset
dgram,3,syssq
dgram,4,laset,syssq
dgram,5,gessq
dgram,6,laset,gessq
dgram,7,gessq,syssq
dgram,8,laset,gessq,syssq
dgram,9,gram
dgram,10,laset,gram
dgram,11,syssq,gram
dgram,12,laset,syssq,gram
dgram,13,gessq,gram
dgram,14,laset,gessq,gram
dgram,15,gessq,syssq,gram
dgram,16,laset,gessq,syssq,gram
dgram,17,plssq
dgram,18,laset,plssq
dgram,19,syssq,plssq
dgram,20,laset,syssq,plssq
dgram,21,gessq,plssq
dgram,22,laset,gessq,plssq
dgram,23,gessq,syssq,plssq
dgram,24,laset,gessq,syssq,plssq
dgram,25,plssq,gram
dgram,26,laset,plssq,gram
dgram,27,syssq,plssq,gram
dgram,28,laset,syssq,plssq,gram
dgram,29,gessq,plssq,gram
dgram,30,laset,gessq,plssq,gram
dgram,31,gessq,syssq,plssq,gram
dgram,32,laset,gessq,syssq,plssq,gram
dgram,33,plssq2
dgram,34,laset,plssq2
dgram,35,syssq,plssq2
dgram,36,laset,syssq,plssq2
dgram,37,gessq,plssq2
dgram,38,laset,gessq,plssq2
dgram,39,gessq,syssq,plssq2
dgram,40,laset,syssq,gessq,plssq2
dgram,41,plssq2,gram
dgram,42,laset,plssq2,gram
dgram,43,syssq,plssq2,gram
dgram,44,laset,syssq,plssq2,gram
dgram,45,gessq,plssq2,gram
dgram,46,laset,gessq,plssq2,gram
dgram,47,gessq,syssq,plssq2,gram
dgram,48,laset,gessq,syssq,plssq2,gram
dgram,49,plssq,plssq2
dgram,50,laset,plssq,plssq2
dgram,51,syssq,plssq,plssq2
dgram,52,laset,syssq,plssq,plssq2
dgram,53,gessq,plssq,plssq2
dgram,54,laset,gessq,plssq,plssq2
dgram,55,gessq,syssq,plssq,plssq2
dgram,56,laset,gessq,syssq,plssq,plssq2
dgram,57,plssq,plssq2,gram
dgram,58,laset,plssq,plssq2,gram
dgram,59,syssq,plssq,plssq2,gram
dgram,60,laset,syssq,plssq,plssq2,gram
dgram,61,gessq,plssq,plssq2,gram
dgram,62,laset,gessq,plssq,plssq2,gram
dgram,63,gessq,syssq,plssq,plssq2,gram
dgram,64,laset,gessq,syssq,plssq,plssq2,gram

dcesca,2,laset
dcesca,3,gesum
dcesca,4,laset,gesum
dcesca,5,gessq
dcesca,6,laset,gessq
dcesca,7,gessq,gesum
dcesca,8,laset,gesum,gessq
dcesca,9,geadd
dcesca,10,laset,geadd
dcesca,11,gesum,geadd
dcesca,12,laset,gesum,geadd
dcesca,13,gessq,geadd
dcesca,14,laset,gessq,geadd
dcesca,15,gessq,gesum,geadd
dcesca,16,laset,gessq,gesum,geadd
dcesca,17,cesca
dcesca,18,laset,cesca
dcesca,19,gesum,cesca
dcesca,20,laset,gesum,cesca
dcesca,21,gessq,cesca
dcesca,22,laset,gessq,cesca
dcesca,23,gessq,gesum,cesca
dcesca,24,laset,gessq,gesum,cesca
dcesca,25,geadd,cesca
dcesca,26,laset,geadd,cesca
dcesca,27,gesum,geadd,cesca
dcesca,28,laset,gesum,geadd,cesca
dcesca,29,gessq,geadd,cesca
dcesca,30,laset,gessq,geadd,cesca
dcesca,31,gessq,gesum,geadd,cesca
dcesca,32,laset,gesum,gessq,geadd,cesca
dcesca,33,plssq
dcesca,34,laset,plssq
dcesca,35,gesum,plssq
dcesca,36,laset,gesum,plssq
dcesca,37,gessq,plssq
dcesca,38,laset,gessq,plssq
dcesca,39,gessq,gesum,plssq
dcesca,40,laset,gessq,gesum,plssq
dcesca,41,geadd,plssq
dcesca,42,laset,geadd,plssq
dcesca,43,gesum,geadd,plssq
dcesca,44,laset,gesum,geadd,plssq
dcesca,45,gessq,geadd,plssq
dcesca,46,laset,gessq,geadd,plssq
dcesca,47,gessq,gesum,geadd,plssq
dcesca,48,laset,gessq,gesum,geadd,plssq
dcesca,49,plssq,cesca
dcesca,50,laset,plssq,cesca
dcesca,51,gesum,plssq,cesca
dcesca,52,laset,gesum,plssq,cesca
dcesca,53,gessq,plssq,cesca
dcesca,54,laset,gessq,plssq,cesca
dcesca,55,gessq,gesum,plssq,cesca
dcesca,56,laset,gesum,gessq,plssq,cesca
dcesca,57,geadd,plssq,cesca
dcesca,58,laset,geadd,plssq,cesca
dcesca,59,gesum,geadd,plssq,cesca
dcesca,60,laset,gesum,geadd,plssq,cesca
dcesca,61,gessq,geadd,plssq,cesca
dcesca,62,laset,gessq,geadd,plssq,cesca
dcesca,63,gessq,gesum,geadd,plssq,cesca
dcesca,64,laset,gessq,gesum,geadd,plssq,cesca
dcesca,65,plssq2
dcesca,66,laset,plssq2
dcesca,67,gesum,plssq2
dcesca,68,laset,gesum,plssq2
dcesca,69,gessq,plssq2
dcesca,70,laset,gessq,plssq2
dcesca,71,gessq,gesum,plssq2
dcesca,72,laset,gessq,gesum,plssq2
dcesca,73,geadd,plssq2
dcesca,74,laset,geadd,plssq2
dcesca,75,gesum,geadd,plssq2
dcesca,76,laset,gesum,geadd,plssq2
dcesca,77,gessq,geadd,plssq2
dcesca,78,laset,gessq,geadd,plssq2
dcesca,79,gessq,gesum,geadd,plssq2
dcesca,80,laset,gessq,gesum,geadd,plssq2
dcesca,81,plssq2,cesca
dcesca,82,laset,plssq2,cesca
dcesca,83,gesum,plssq2,cesca
dcesca,84,laset,gesum,plssq2,cesca
dcesca,85,gessq,plssq2,cesca
dcesca,86,laset,gessq,plssq2,cesca
dcesca,87,gesum,gessq,plssq2,cesca
dcesca,88,laset,gessq,gesum,plssq2,cesca
dcesca,89,geadd,plssq2,cesca
dcesca,90,laset,geadd,plssq2,cesca
dcesca,91,gesum,geadd,plssq2,cesca
dcesca,92,laset,gesum,geadd,plssq2,cesca
dcesca,93,gessq,geadd,plssq2,cesca
dcesca,94,laset,gessq,geadd,plssq2,cesca
dcesca,95,gesum,gessq,geadd,plssq2,cesca
dcesca,96,laset,gessq,gesum,geadd,plssq2,cesca
dcesca,97,plssq,plssq2
dcesca,98,laset,plssq,plssq2
dcesca,99,gesum,plssq,plssq2
dcesca,100,laset,gesum,plssq,plssq2
dcesca,101,gessq,plssq,plssq2
dcesca,102,laset,gessq,plssq,plssq2
dcesca,103,gessq,gesum,plssq,plssq2
dcesca,104,laset,gessq,gesum,plssq,plssq2
dcesca,105,geadd,plssq,plssq2
dcesca,106,laset,geadd,plssq,plssq2
dcesca,107,gesum,geadd,plssq,plssq2
dcesca,108,laset,gesum,geadd,plssq,plssq2
dcesca,109,gessq,geadd,plssq,plssq2
dcesca,110,laset,gessq,geadd,plssq,plssq2
